title,partner,rating,enrollment,subject,skills,duration,level,new_career,promotion
Advanced Chemistry,University of Kentucky,"4.7
stars",Missing,Physical Science and Engineering,[],Missing,"English
Subtitles: English, Spanish",Missing,Missing
Advanced Business Analytics Capstone,University of Colorado Boulder,"4.3
stars",Missing,Data Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Professional Responsibility and Ethics for Accountants,University of Illinois at Urbana-Champaign,Missing,Missing,Business,[],Missing,Approx. 20 hours to complete,Missing,Missing
Voice Disorders: What Patients and Professionals Need to Know,Icahn School of Medicine at Mount Sinai,"4.9
stars",Missing,Health,[],Missing,Approx. 4 hours to complete,Missing,Missing
The Business of Social,Northwestern University,"4.7
stars",Missing,Business,"['Social Marketing', 'Social Media Marketing', 'Social Media', 'A/B Testing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The Modern and the Postmodern (Part 1),Wesleyan University,"4.8
stars",Missing,Arts and Humanities,[],Missing,Approx. 14 hours to complete,Missing,Missing
The Beauty of Kunqu Opera,The Chinese University of Hong Kong,"4.8
stars",Missing,Arts and Humanities,[],Missing,Approx. 8 hours to complete,Missing,Missing
Psychological First Aid,Missing,"4.8
stars",Missing,Health,"['Reflective Listening', 'Active Listening', 'Crisis Intervention', 'Psychological First Aid']",Missing,Approx. 6 hours to complete,Missing,Missing
Ebola : Vaincre ensemble !,University of Geneva,"4.4
stars",Missing,Health,[],Missing,Approx. 15 hours to complete,Missing,Missing
Emerging Trends & Technologies in the Virtual K-12 Classroom,"University of California, Irvine","4.5
stars",Missing,Social Sciences,"['Education', 'Social Media', 'Resource', 'Evaluation', 'Teaching']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Cómo resolver problemas y tomar decisiones con eficacia,"University of California, Irvine","4.4
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Autism Spectrum Disorder,"University of California, Davis","4.6
stars",Missing,Health,"['Education', 'Sensory Integration', 'Diagnostic Evaluation', 'Autism Spectrum Disorder (ASD)']",Missing,Approx. 5 hours to complete,Missing,Missing
Global Warming I: The Science and Modeling of Climate Change,The University of Chicago,"4.6
stars",Missing,Physical Science and Engineering,[],Missing,Approx. 31 hours to complete,Missing,Missing
Hardware Security,"University of Maryland, College Park","4.1
stars",Missing,Computer Science,"['Montgomery Modular Multiplication', 'Side-Channel Attack', 'Hardware Design', 'Cryptographic Hardware']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Social Media Analytics,Emory University,"4.5
stars",Missing,Business,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Lesson | Organize Your Pitch,Georgia Institute of Technology,Missing,Missing,Language Learning,[],Missing,"English
Subtitles: Arabic, French, Chinese (Simplified), Greek, Portuguese (Brazilian), Vietnamese, English, Spanish, Japanese, Persian",Missing,Missing
Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics,University of Rochester,"4.6
stars",Missing,Physical Science and Engineering,[],Missing,Approx. 16 hours to complete,Missing,Missing
竞争策略（中文版）,Ludwig-Maximilians-Universität München (LMU),"4.9
stars",Missing,Business,"['Game Theory', 'Strategic Thinking', 'Competition (Economics)', ""Porter'S Five Forces Analysis"", 'Strategic Management']",Missing,"Chinese (Simplified)
Subtitles: Chinese (Simplified), English",Missing,Missing
"Technology Commercialization, Part 1: Setting up your Idea Filtering System",University of Rochester,"4.2
stars",Missing,Business,[],Missing,Approx. 8 hours to complete,Missing,Missing
Responsive Web Design,Missing,"4.6
stars",Missing,Computer Science,"['Responsive Web Design', 'Html', 'JavaScript', 'Cascading Style Sheets (CCS)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Teaching and Assessing Clinical Skills,University of Michigan,"4.7
stars",Missing,Health,[],Missing,"English
Subtitles: English, Portuguese (European)",Missing,Missing
Basic System Programming on IBM Z,IBM,"4.8
stars",Missing,Information Technology,"['System Programming', 'Unix', 'DB2', 'System Administration', 'JCL']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Firm Level Economics: Consumer and Producer Behavior,University of Illinois at Urbana-Champaign,"4.9
stars",Missing,Business,"['Economics', 'Consumer Behaviour', 'Supply And Demand', 'Cost']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The Worldview of Thomas Berry: The Flourishing of the Earth Community,Yale University,"4.7
stars",Missing,Arts and Humanities,[],Missing,Approx. 21 hours to complete,Missing,Missing
Big Data Analysis with Scala and Spark,École Polytechnique Fédérale de Lausanne,"4.7
stars",Missing,Computer Science,"['Scala Programming', 'Big Data', 'Apache Spark', 'SQL']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Understanding Memory: Explaining the Psychology of Memory through Movies,Wesleyan University,"4.7
stars",Missing,Health,"['Psychology', 'Term (Time)', 'Semantics', 'Personal Development']",Missing,Approx. 9 hours to complete,Missing,Missing
Pattern Discovery in Data Mining,University of Illinois at Urbana-Champaign,"4.3
stars",Missing,Data Science,"['Streams', 'Sequential Pattern Mining', 'Data Mining Algorithms', 'Data Mining']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Lesson | Small Talk & Conversational Vocabulary,Georgia Institute of Technology,"4.4
stars",Missing,Language Learning,[],Missing,"English
Subtitles: Arabic, French, Chinese (Simplified), Vietnamese, Korean, Turkish, English, Spanish, Japanese, Persian, Polish",Missing,Missing
计算机系统基础（一） ：程序的表示、转换与链接,Nanjing University,"4.7
stars",Missing,Computer Science,[],Missing,Approx. 56 hours to complete,Missing,Missing
Robotics: Aerial Robotics,University of Pennsylvania,"4.5
stars",Missing,Physical Science and Engineering,"['Motion Planning', 'Robotics', 'Quadcoper', 'Matlab']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Introduction to Software Product Management,University of Alberta,"4.6
stars",Missing,Computer Science,"['Agile Software Development', 'Software Product Management', 'Software Project Management']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Approximation Algorithms Part II,École normale supérieure,"4.8
stars",Missing,Computer Science,[],Missing,"English
Subtitles: English",Missing,Missing
Data Visualization and Communication with Tableau,Duke University,"4.7
stars",Missing,Data Science,"['Data Analysis', 'Tableau Software', 'Data Visualization (DataViz)', 'Visualization (Computer Graphics)']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
"Origins - Formation of the Universe, Solar System, Earth and Life",University of Copenhagen,"4.7
stars",Missing,Physical Science and Engineering,[],Missing,Approx. 21 hours to complete,Missing,Missing
Physics of silicon solar cells,École Polytechnique,"5.0
stars",Missing,Physical Science and Engineering,[],Missing,Approx. 9 hours to complete,Missing,Missing
Relational Database Support for Data Warehouses,University of Colorado System,"4.6
stars",Missing,Data Science,"['Data Warehousing', 'Materialized View', 'Data Warehouse', 'SQL']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Cryptography,"University of Maryland, College Park","4.5
stars",Missing,Computer Science,"['Number Theory', 'Cryptography', 'Public-Key Cryptography']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Communicating Business Analytics Results,University of Colorado Boulder,"4.4
stars",Missing,Data Science,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Financial Accounting: Advanced Topics,University of Illinois at Urbana-Champaign,"4.7
stars",Missing,Business,"['Cash Flow', 'Financial Accounting', 'Cash Flow Statement', 'Financial Statement']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Advanced Writing,"University of California, Irvine","4.7
stars",Missing,Language Learning,"['Essay Writing', 'Academic Writing', 'Creative Writing', 'Writing']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Management of Fashion and Luxury Companies,Università Bocconi,"4.7
stars",Missing,Business,"['Strategic Management', 'Business Model', 'Luxury Goods', 'Brand Management']",Missing,Approx. 11 hours to complete,Missing,Missing
透过摄影看世界,The Museum of Modern Art,"4.8
stars",Missing,Arts and Humanities,[],Missing,Approx. 10 hours to complete,Missing,Missing
Initiating and Planning Projects,"University of California, Irvine","4.7
stars",Missing,Business,"['Project Management', 'Project', 'Planning', 'Project Planning']",Missing,Approx. 7 hours to complete,Missing,Missing
International Leadership and Organizational Behavior,Università Bocconi,"4.8
stars",Missing,Business,"['Social Network', 'Leadership', 'Management', 'Cross-Cultural Communication']",Missing,Approx. 15 hours to complete,Missing,Missing
Big Data - Capstone Project,University of California San Diego,"4.5
stars",Missing,Data Science,"['Big Data', 'Neo4j', 'Knime', 'Splunk']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Game Development for Modern Platforms,Michigan State University,"4.8
stars",Missing,Computer Science,"['Video Game Development', 'C Sharp (C#) (Programming Language)', 'Unity (User Interface)', 'Game Design']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Chinese for Beginners,Peking University,"4.8
stars",Missing,Language Learning,"['Grammar', 'Communication', 'Chinese Language', 'Speech']",Missing,Approx. 15 hours to complete,Missing,Missing
Conflict Resolution Skills,"University of California, Irvine","4.3
stars",Missing,Business,"['Active Listening', 'Communication', 'Management', 'Collaboration']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
مجموعة أدوات عالم البيانات,Missing,Missing,Missing,Data Science,[],Missing,Approx. 6 hours to complete,Missing,Missing
Ruby on Rails Web Services and Integration with MongoDB,Missing,"4.3
stars",Missing,Computer Science,"['Web Service', 'Mongodb', 'Ruby On Rails']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The Economics of Health Care Delivery,University of Pennsylvania,"4.8
stars",Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Water Resources Management and Policy,University of Geneva,"4.6
stars",Missing,Social Sciences,"['Policy Analysis', 'International Law', 'International Relations', 'Law']",Missing,Approx. 10 hours to complete,Missing,Missing
Introduction to Systems Biology,Icahn School of Medicine at Mount Sinai,"4.3
stars",Missing,Health,[],Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
The Data Scientist’s Toolbox,Missing,"4.6
stars",Missing,Data Science,"['Data Science', 'Github', 'R Programming', 'Rstudio']",Missing,Approx. 13 hours to complete,Missing,Missing
Foundations of Teaching for Learning: Being a Professional,Commonwealth Education Trust,"4.7
stars",Missing,Social Sciences,[],Missing,Approx. 13 hours to complete,Missing,Missing
Business Metrics for Data-Driven Companies,Duke University,"4.6
stars",Missing,Data Science,"['Data Analysis', 'Business Analysis', 'Business Analytics', 'Business Process']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
Programming for the Internet of Things Project,"University of California, Irvine","4.7
stars",Missing,Physical Science and Engineering,"['Arduino', 'Python Programming', 'Internet Of Things (IOT)', 'Raspberry Pi']",Missing,"Flexible deadlines
Reset deadlines in accordance to your schedule.",Missing,Missing
